Wavelength,Excitation,Emission
300,4.418743,0
301,4.522539,0
302,4.715303,0
303,4.848754,0
304,4.982206,0
305,5.17497,0
306,5.338078,0
307,5.516014,0
308,5.753263,0
309,5.931198,0
310,6.109134,0
311,6.376038,0
312,6.568802,0
313,6.761566,0
314,6.983986,0
315,7.117438,0
316,7.295373,0
317,7.517794,0
318,7.666073,0
319,7.829182,0
320,7.962634,0
321,8.110913,0
322,8.229537,0
323,8.407474,0
324,8.526097,0
325,8.615066,0
326,8.718862,0
327,8.748517,0
328,8.822658,0
329,8.911625,0
330,8.941281,0
331,8.941281,0
332,8.941281,0
333,8.970937,0
334,8.970937,0
335,9.000593,0
336,8.941281,0
337,8.926453,0
338,8.867141,0
339,8.852313,0
340,8.837485,0
341,8.778173,0
342,8.793001,0
343,8.748517,0
344,8.674377,0
345,8.689205,0
346,8.674377,0
347,8.65955,0
348,8.570581,0
349,8.51127,0
350,8.51127,0
351,8.496442,0
352,8.481613,0
353,8.392646,0
354,8.362989,0
355,8.333334,0
356,8.288849,0
357,8.229537,0
358,8.185053,0
359,8.110913,0
360,8.036774,0
361,7.962634,0
362,7.888494,0
363,7.784697,0
364,7.680902,0
365,7.502965,0
366,7.354686,0
367,7.221234,0
368,6.998814,0
369,6.820878,0
370,6.628114,0
371,6.43535,0
372,6.272242,0
373,6.079478,0
374,5.857059,0
375,5.679122,0
376,5.516014,0
377,5.338078,0
378,5.189798,0
379,4.997035,0
380,4.774615,0
381,4.611506,0
382,4.43357,0
383,4.225979,0
384,4.048043,0
385,3.870107,0
386,3.662515,0
387,3.440095,0
388,3.217675,0
389,2.935943,0
390,2.713523,0
391,2.461447,0
392,2.179715,0
393,1.957295,0
394,1.734875,0
395,1.453144,0
396,1.275208,0
397,1.097272,0
398,0.9193357,0
399,0.8007118,0
400,0.6969157,0
401,0.6079478,0
402,0.5486358,0
403,0.4744958,0
404,0.4003559,0
405,0.3558719,0
406,0.3113879,0
407,0.2965599,0
408,0.2965599,0
409,0.2965599,0
410,0.3113879,0
411,0.3262159,0
412,0.3410439,0
413,0.3558719,0
414,0.3706999,0
415,0.3855279,0
416,0.4151838,0
417,0.4448399,0
418,0.4596679,0
419,0.4744958,0
420,0.4893239,0
421,0.5189798,0
422,0.5634638,0
423,0.5931199,0
424,0.6227758,0
425,0.6672598,0
426,0.6969157,0
427,0.7413998,0
428,0.8007118,0
429,0.8303677,0
430,0.8748518,0
431,0.9638197,0
432,1.008304,0
433,1.082444,0
434,1.171412,0
435,1.26038,0
436,1.33452,0
437,1.438316,0
438,1.527284,0
439,1.616251,0
440,1.749704,0
441,1.853499,0
442,1.986951,0
443,2.164887,0
444,2.283511,0
445,2.431791,0
446,2.639383,0
447,2.787663,0
448,2.935943,0
449,3.188019,0
450,3.380783,0
451,3.573547,0
452,3.855279,0
453,4.048043,0
454,4.285291,0
455,4.596678,0
456,4.833927,0
457,5.086002,0
458,5.47153,0
459,5.753263,0
460,6.06465,0
461,6.465006,0
462,6.776393,0
463,7.147094,0
464,7.606761,0
465,7.962634,0
466,8.377817,0
467,8.941281,0
468,9.371292,0
469,9.860617,0
470,10.49822,0
471,11.00237,0
472,11.56584,0
473,12.30724,0
474,12.90036,0
475,13.59727,0
476,14.53144,0
477,15.24318,0
478,16.08838,0
479,17.17082,0
480,18.0605,0
481,19.05397,0
482,20.35884,0
483,21.38197,0
484,22.46441,0
485,23.90273,0
486,25.04448,0
487,26.29004,0
488,27.84698,0
489,29.04804,0
490,30.33808,0
491,31.98399,0
492,33.24437,0
493,34.60854,0
494,36.29893,0
495,37.58897,0
496,38.95314,0
497,40.67319,0
498,41.97805,0
499,43.37188,0
500,45.10676,0
501,46.47094,0
502,47.95374,0
503,49.86655,0
504,51.37901,0
505,53.05457,0.22437
506,55.21945,0.25904
507,56.9395,0.30221
508,58.80783,0.34538
509,61.20996,0.43609
510,63.07829,0.54511
511,65.16904,0.66504
512,67.85291,0.78496
513,69.95848,0.95798
514,72.24199,1.1672
515,75.16311,1.4315
516,77.43179,1.7348
517,79.86359,2.1017
518,82.94781,2.6164
519,85.26097,3.2228
520,87.61862,3.9527
521,90.39146,4.8642
522,92.34875,5.9186
523,94.24673,7.075099
524,96.32266,8.5169
525,97.64235,9.9592
526,98.73962,11.799
527,99.65896,13.868
528,100,16.329
529,99.92586,19.318
530,99.27343,22.444
531,98.32444,26.646
532,96.85646,30.873
533,94.38019,35.841
534,92.00771,40.974
535,89.01246,45.953
536,84.65303,51.628
537,80.93119,57.072
538,76.70522,63.073
539,70.71471,68.507
540,65.98458,74.497
541,60.92823,80.077
542,54.30012,85.572
543,49.37722,90.031
544,44.40984,94.818
545,38.16726,97.241
546,33.73369,99.749
547,29.37426,100
548,24.12515,99.39
549,20.61091,97.088
550,17.34875,95.208
551,13.65658,91.841
552,11.31376,87.493
553,9.237841,82.308
554,7.058126,77.297
555,5.782918,71.68
556,4.700475,66.526
557,3.588375,61.487
558,2.950771,56.302
559,2.431791,52.605
560,1.897983,48.481
561,1.571767,45.607
562,1.319692,42.737
563,1.03796,40.719
564,0.8748518,38.596
565,0.7265718,36.836
566,0.5931199,34.915
567,0.4893239,33.436
568,0.4151838,32.103
569,0.3262159,30.849
570,0.2669039,29.769
571,0.2372479,28.663
572,0.1927639,28.035
573,0.1631079,27.212
574,0.133452,26.806
575,0.118624,26.159
576,0.103796,25.951
577,0.0741,25.37
578,0.0741,25.114
579,0.0741,24.694
580,0.0741,24.151
581,0.0741,23.875
582,0.0593,23.328
583,0.0593,22.723
584,0.0445,22.248
585,0.0297,21.75
586,0.0297,21.127
587,0.0445,20.663
588,0.0445,19.938
589,0.0297,19.532
590,0.0445,18.831
591,0.0445,18.232
592,0.0297,17.502
593,0.0297,16.742
594,0.0297,15.982
595,0.0297,15.395
596,0.0445,14.703
597,0.0445,14.012
598,0.0297,13.349
599,0.0297,12.672
600,0.0297,12.113
601,0,11.568
602,0,10.921
603,0,10.362
604,0,9.9045
605,0,9.3559
606,0,8.7628
607,0,8.2735
608,0,7.7249
609,0,7.3691
610,0,6.9836
611,0,6.6316
612,0,6.318
613,0,5.9744
614,0,5.7355
615,0,5.5216
616,0,5.2056
617,0,5.0312
618,0,4.7129
619,0,4.5311
620,0,4.3347
621,0,4.1516
622,0,3.9507
623,0,3.7662
624,0,3.6536
625,0,3.5452
626,0,3.3987
627,0,3.3125
628,0,3.187
629,0,3.0826
630,0,2.9925
631,0,2.8687
632,0,2.7914
633,0,2.6462
634,0,2.5829
635,0,2.5021
636,0,2.4364
637,0,2.3863
638,0,2.2519
639,0,2.233
640,0,2.0954
641,0,2.0749
642,0,2.0198
643,0,1.9241
644,0,1.849
645,0,1.8606
646,0,1.6955
647,0,1.6986
648,0,1.619
649,0,1.5745
650,0,1.5294
651,0,1.4556
652,0,1.4456
653,0,1.4064
654,0,1.3768
655,0,1.2974
656,0,1.2472
657,0,1.2032
658,0,1.1514
659,0,1.1051
660,0,1.1173
661,0,1.0286
662,0,0.97335
663,0,0.96332
664,0,0.89072
665,0,0.90009
666,0,0.82487
667,0,0.83337
668,0,0.7987
669,0,0.74135
670,0,0.74877
671,0,0.7117
672,0,0.65446
673,0,0.59243
674,0,0.57509
675,0,0.55732
676,0,0.56517
677,0,0.54664
678,0,0.50368
679,0,0.50826
680,0,0.464
681,0,0.47021
682,0,0.47436
683,0,0.4785
684,0,0.43369
685,0,0.36021
686,0,0.36479
687,0,0.36784
688,0,0.3709
689,0,0.32184
690,0,0.35149
691,0,0.27256
692,0,0.33099
693,0,0.25021
694,0,0.22502
695,0,0.22764
696,0,0.20071
697,0,0.116
698,0,0.11731
699,0,0.20758
700,0,0.17989
701,0,0.18185
702,0,0.12254
703,0,0.09256
704,0,0.062361
705,0,0
706,0,0
707,0,0.032271
708,0,-0.032598
709,0,-0.033034
710,0,-0.066722
711,0,-0.033797
712,0,0.034124
713,0,-0.10368
714,0,-0.034887
715,0,-0.070647
716,0,-0.035759
717,0,-0.036087
718,0,-0.10957
719,0,-0.11088
720,0,-0.11218
721,0,-0.11349
722,0,-0.1148
723,0,-0.11611
724,0,-0.078496
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
